GDPPC_LM,GDPPC_LSD,GDPPC_LVar,GDPPC_LSKe,GDPPC_LCV,GDPPC_Median,GDPPC_IQR,GDPPC_QI,County
20940.816274916844,6509.383434722333,42372072.70023752,1.3192430040086536,0.31084669046637636,20078,8255,0.1304663840096911,Ningyuan
19677.659884098164,5483.5597745453615,30069427.80101198,0.7088689883124686,0.2786693035068014,20078,6499,0.4359132174180643,Shuangpai
22593.116042643298,7990.559874332683,63849047.10529553,1.8044083411524616,0.3536723247581665,20638,7799,-0.2606744454417233,Xintian
29274.15416865595,10901.06694132777,118833260.45930918,3.150872471713079,0.37237854520147406,26105,8658,-0.2547932547932548,Huarong
33931.1582279455,16883.015879723753,285036225.1950044,1.9062206365143628,0.4975667428239747,29361,9974,0.2997794265089232,Linxiang
39929.04881120696,21091.071071740433,444833278.9532061,1.03940927769088,0.5282137115628149,31537,16392,-0.33723767691556855,Miluo
41645.9184930654,21603.179077448254,466697346.25229794,0.8790784296318115,0.5187346049540358,32853,35944,-0.6330402848876029,Pingjiang
40344.46172941547,21438.720827521334,459618750.72039706,0.985235437551843,0.5313919162265137,32853,19618,0.0168212865735549,Xiangyin
21604.09167270593,6314.34296284305,39870927.05240555,-0.0982555389386957,0.2922753272159289,21942,6900,0.042318840579710144,Cili
26926.699481396467,12601.434554128025,158796152.8219718,1.2834885731947798,0.46799031432850874,24473,15083,-0.3417755088510243,Chaling
40951.34847958604,19932.93809536381,397322021.11360586,1.0538628592274366,0.48674680652580316,34592,16137,0.020263989589142963,Liling
26303.38157694984,15802.166767177081,249708474.53767577,1.2605421482974528,0.6007655981778717,20981,21895,-0.24329755651975338,Yanling
28101.621696063256,9843.588676632056,96896238.03471883,1.3398276287227242,0.35028543132124795,27137,13611,-0.09543751377562266,You
39247.29953425959,19218.90432145569,369366283.3172683,1.1944052408916657,0.48968730459223586,27589,16137,-0.8476792464522526,Zhuzhou
17819.78887913277,6747.12567387177,45523704.85901959,0.4556376196714562,0.37863106682328607,14567,12472,-0.5104233483001924,Sangzhi
34414.94765825629,17459.518914443564,304834800.72381264,1.8181687880234785,0.5073237096804054,29361,11104,0.167507204610951,Yueyang
19113.89416110862,5196.282215803213,27001348.86627275,8.610179003388892e-4,0.27185889866316104,20518,7577,0.6323083014385641,Qiyang
35704.05828337181,19879.00842730192,395174976.05274075,0.9092425398300827,0.5567716775927409,26105,21596,-0.5180588997962585,Taojiang
17868.22228359643,12686.82513509829,160955532.00856176,2.812434814367128,0.7100216761208069,12781,10386,-0.4898902368573079,Shaoyang
28477.141157192716,19065.62265428236,363497967.1954847,1.0575058713217609,0.6695062032049096,18714,13026,-0.3626592967910333,Lianyuan
17063.033300622847,5597.063209036023,31327116.565944623,1.3900095644613486,0.32802275600269243,15801,4074,0.1796759941089838,Hongjiang
23562.29986294359,7245.833239312377,52502099.331924096,2.7206707730830626,0.3075180810642298,24194,6840,0.6023391812865497,Hengyang
26744.2588904359,13179.169636315992,173690512.30279338,1.5325216414888942,0.4927850007101538,24194,14336,-0.10170200892857142,Guiyang
49005.83829430335,22568.841153995192,509352591.03426707,0.36350698422442973,0.4605337229098822,41491,34717,-0.19313304721030042,Changsha
23376.715276237326,6472.728794447957,41896218.04647569,2.4989848082643635,0.27688786546617833,21942,5864,-0.12687585266030013,Taoyuan
38214.74081762689,19407.146643779306,376637340.8531544,1.1049590716171576,0.5078445183338149,27485,17325,-0.732987012987013,Xiangtan
19487.863732698428,5485.1295505132475,30086646.18591366,0.9346668929880558,0.2814638703220108,18001,6499,-0.20326204031389444,Dao
18595.39687310903,5252.51215207588,27588883.907704793,0.9840540627373839,0.28246303038961135,18001,5226,-0.009184845005740528,Jiangyong
