spatial_m,lag_days,ratio
24000,29,4.131063770176451
25000,29,4.049949275120034
26000,29,3.962378184558596
27000,29,3.8808917971665853
28000,29,3.806556587517611
29000,29,3.7368123194850686
30000,29,3.693037905407748
1000,31,16.309490644328964
2000,31,13.409566663995637
3000,31,9.52031967620999
4000,31,7.616439528027789
5000,31,6.572331628488444
6000,31,5.826095626186125
7000,31,5.211086927974608
8000,31,4.6975164485983285
9000,31,4.325941527992402
10000,31,4.1472066756784525
11000,31,4.198409795008713
12000,31,4.310594053404673
13000,31,4.4567476937598425
14000,31,4.41435495623734
15000,31,4.435359867592608
16000,31,4.441600610174638
17000,31,4.413550715110808
18000,31,4.3045077204886155
19000,31,4.268180713836123
20000,31,4.250359072704564
21000,31,4.23634452405061
22000,31,4.205176303962253
23000,31,4.12493977854414
24000,31,4.040120577861632
25000,31,3.9680516770069403
26000,31,3.8828377539061534
27000,31,3.804108333362143
28000,31,3.7328560049885127
29000,31,3.669269253438327
30000,31,3.626169569164604
1000,33,15.535828711349412
2000,33,12.951985339163006
3000,33,9.216009777338533
4000,33,7.375892856748977
5000,33,6.390268132978384
6000,33,5.67777384422481
7000,33,5.094153729637592
8000,33,4.602207826238463
9000,33,4.259032620319241
10000,33,4.108767247264692
11000,33,4.1700748456601024
12000,33,4.29777483243687
13000,33,4.455612642678773
14000,33,4.420679668083113
15000,33,4.438168426021675
16000,33,4.436958495961079
17000,33,4.412438689260408
18000,33,4.30270836290275
19000,33,4.264480780458422
20000,33,4.249682824877693
21000,33,4.237990117651179
22000,33,4.201180872786717
23000,33,4.118316727746998
24000,33,4.037993569686959
25000,33,3.9671323577319724
26000,33,3.884196163934593
27000,33,3.8085153870816746
28000,33,3.736473260595901
29000,33,3.6697817996291957
30000,33,3.628427334650361
1000,35,14.719521056411612
2000,35,12.28332587692157
3000,35,8.768773964661271
4000,35,7.059924131111735
5000,35,6.150347049120253
6000,35,5.467233101352085
7000,35,4.902935397311342
8000,35,4.448584935963256
9000,35,4.115512756017689
10000,35,3.967374522994288
11000,35,4.028860671280466
12000,35,4.154270377115135
13000,35,4.3148364300761175
14000,35,4.285901946600644
15000,35,4.306540521417011
16000,35,4.3096880318694115
17000,35,4.289225131284224
18000,35,4.193092933170611
19000,35,4.156135891142447
20000,35,4.138744693270997
21000,35,4.1257516471993965
22000,35,4.0889853145635335
23000,35,4.009018462245772
24000,35,3.932988270135691
25000,35,3.865905538500668
26000,35,3.7854474240271188
27000,35,3.7148671985321444
28000,35,3.6451050080785885
29000,35,3.58130733905729
30000,35,3.543580662045745
1000,37,13.923871269578552
2000,37,11.703851826137825
3000,37,8.354867612214132
4000,37,6.750122694122395
5000,37,5.893598458353233
6000,37,5.239298595870235
7000,37,4.694468105837759
8000,37,4.26352305949959
9000,37,3.9534676254948744
10000,37,3.8065894235884135
11000,37,3.874570167087369
12000,37,3.99428784259699
13000,37,4.158181259942436
14000,37,4.145157943266685
15000,37,4.169352976508141
16000,37,4.174923380585291
17000,37,4.154337826811971
18000,37,4.060014535394219
19000,37,4.0245040952504745
20000,37,4.002523981098825
21000,37,3.9892743628652494
22000,37,3.9544208809844674
23000,37,3.881434839778542
24000,37,3.8116258112393746
25000,37,3.749769471183133
26000,37,3.6716334494554252
27000,37,3.6051918741300453
28000,37,3.537741705916497
29000,37,3.476400181728509
30000,37,3.44042414613609
1000,39,13.338077332670716
2000,39,11.20461484234717
3000,39,8.02115950570996
4000,39,6.529068485079422
5000,39,5.743231878637465
6000,39,5.1141815974946265
7000,39,4.594720938814253
8000,39,4.179148301391179
9000,39,3.8743598185980823
10000,39,3.7271284149432256
11000,39,3.788997466508794
12000,39,3.906361315196376
13000,39,4.067292097844678
14000,39,4.055867737618812
15000,39,4.0786010251804035
16000,39,4.085075546419909
17000,39,4.063507629390816
18000,39,3.9774950572733494
19000,39,3.9511351839678017
20000,39,3.9332820009995455
21000,39,3.9171949220238673
22000,39,3.8818305750689683
23000,39,3.8115560706540643
24000,39,3.7431952940074193
25000,39,3.684074512780832
26000,39,3.6098712297453988
27000,39,3.5468467708312508
28000,39,3.484569415428318
29000,39,3.4255445865021175
30000,39,3.390673678571223
1000,41,12.502837848277924
2000,41,10.5768971756721
3000,41,7.589565484720003
4000,41,6.210813247935655
5000,41,5.47979614514934
6000,41,4.9041364795307265
7000,41,4.416645477591378
8000,41,4.022631722396462
9000,41,3.733215138826611
10000,41,3.589054124085705
11000,41,3.6545874471454654
12000,41,3.7719138473349805
13000,41,3.898036261102789
14000,41,3.884834346059592
15000,41,3.902073063227964
16000,41,3.907988984593167
17000,41,3.8882023497947222
18000,41,3.8080400297796584
19000,41,3.7895147252329857
20000,41,3.7792406515564503
21000,41,3.77177146354418
22000,41,3.738529280999628
23000,41,3.6730224725656777
24000,41,3.604199844437537
25000,41,3.555715915839154
26000,41,3.4902930598174393
27000,41,3.4292692187804974
28000,41,3.3741977979873794
29000,41,3.3235220827853134
30000,41,3.296250129629481
1000,43,12.273664511615713
2000,43,10.338395571730905
3000,43,7.401406188671693
4000,43,6.045069313130025
5000,43,5.315470943332534
6000,43,4.770141776038788
7000,43,4.305395272423868
8000,43,3.927689880245204
9000,43,3.664583256077735
10000,43,3.51668133769315
11000,43,3.5883922187235577
12000,43,3.700886685705459
13000,43,3.8228675485380603
14000,43,3.8152973168398656
15000,43,3.8326845314761533
16000,43,3.8327584693249226
17000,43,3.8075403681700615
18000,43,3.7319584454893726
19000,43,3.714729032887048
20000,43,3.7036450471533766
21000,43,3.6933623183367015
22000,43,3.6642263643017103
23000,43,3.601076084006702
24000,43,3.5347119505192
25000,43,3.487072320976307
26000,43,3.425096682708159
27000,43,3.3636522879753095
28000,43,3.3110616593736886
29000,43,3.2638183344888945
30000,43,3.2372249353317333
1000,45,12.06486213821236
2000,45,10.061287147117902
3000,45,7.190921149085265
4000,45,5.877472201256657
5000,45,5.208051568072097
6000,45,4.70445507108165
7000,45,4.261493194544692
8000,45,3.899490400341477
9000,45,3.6458834449196136
10000,45,3.4914842310835525
11000,45,3.555347221984615
12000,45,3.6637404330885377
13000,45,3.7728248771032264
14000,45,3.7701053063976038
15000,45,3.7885556644425282
16000,45,3.789274963759212
17000,45,3.76764071738009
18000,45,3.702633725419041
19000,45,3.688733525667721
20000,45,3.676083704235304
21000,45,3.6664605817236224
22000,45,3.635625438379016
23000,45,3.575628096350052
24000,45,3.507171774592836
25000,45,3.4559056423729526
26000,45,3.3950830400444394
27000,45,3.336412437467924
28000,45,3.283620500045721
29000,45,3.237028849677242
30000,45,3.2109115170846114
1000,47,11.67188799052434
2000,47,9.756898189275619
3000,47,7.016505290194462
4000,47,5.763471510508007
5000,47,5.1199500415477965
6000,47,4.632660321254068
7000,47,4.186241080586118
8000,47,3.817428340748106
9000,47,3.5762919261835506
10000,47,3.4276765288273827
11000,47,3.493119997012864
12000,47,3.5913937896501547
13000,47,3.7040092220076284
14000,47,3.7120236251488095
15000,47,3.738187598667191
16000,47,3.7292364891776995
17000,47,3.710032587261581
18000,47,3.651896327849519
19000,47,3.641031419604038
20000,47,3.630130242509783
21000,47,3.6210654946292986
22000,47,3.5862379582405506
23000,47,3.521452791289186
24000,47,3.4491298934725183
25000,47,3.3991131505672545
26000,47,3.3389943262055604
27000,47,3.27650328573028
28000,47,3.219689122148428
29000,47,3.1705237731166473
30000,47,3.138248276585649
1000,49,11.351034934736624
2000,49,9.408954072067619
3000,49,6.7814475460967465
4000,49,5.5753266218275455
5000,49,4.964192707294079
6000,49,4.489743251616339
7000,49,4.043708196269795
8000,49,3.6889702638954374
9000,49,3.4456779901493753
10000,49,3.2998287195640352
11000,49,3.366588669852803
12000,49,3.4664212813789175
13000,49,3.5751515350390854
14000,49,3.5896391649025228
15000,49,3.6155378224353307
16000,49,3.6061566881223452
17000,49,3.5895086647109054
18000,49,3.5299725544769407
19000,49,3.5201192460765296
20000,49,3.5147113609854412
21000,49,3.5074331450554124
22000,49,3.477379333905599
23000,49,3.417794229524682
24000,49,3.3502940777498975
25000,49,3.3009723680902687
26000,49,3.2437253933725176
27000,49,3.1849696878216296
28000,49,3.1300998543733694
29000,49,3.0813393756218703
30000,49,3.0510600521856
1000,51,10.933337511754498
2000,51,9.118627168599023
3000,51,6.574374342092529
4000,51,5.405331412373169
5000,51,4.823797321774439
6000,51,4.365631257908819
7000,51,3.9448325812245497
8000,51,3.5943144452724902
9000,51,3.362648169763061
10000,51,3.2159674722009393
11000,51,3.2811804150686967
12000,51,3.375320996259833
13000,51,3.4800671881123026
14000,51,3.4989428318243743
15000,51,3.5249540482276402
16000,51,3.511704065986846
17000,51,3.498828373497829
18000,51,3.4492475294701257
19000,51,3.438781052274815
20000,51,3.43328001077837
21000,51,3.4286760988123244
22000,51,3.40267265872758
23000,51,3.346551407839407
24000,51,3.283889709422192
25000,51,3.2333880650261198
26000,51,3.1766076760706996
27000,51,3.1175776396694803
28000,51,3.0622817438921195
29000,51,3.014131336436629
30000,51,2.9841740428310986
1000,53,9.295123336915362
2000,53,7.830413044604466
3000,53,5.619847712159874
4000,53,4.734232203983272
5000,53,4.365156476665322
6000,53,4.016129338453829
7000,53,3.660885027493834
8000,53,3.3598201068500773
9000,53,3.1419148749065777
10000,53,2.991732030827706
11000,53,2.994742952400832
12000,53,3.0329843132075074
13000,53,3.111406788542838
14000,53,3.134550282175468
15000,53,3.172859978800179
16000,53,3.1736365673217395
17000,53,3.1754211237826517
18000,53,3.140908525007883
19000,53,3.1353053446213077
20000,53,3.13706403463764
21000,53,3.126080821219755
22000,53,3.095618964589284
23000,53,3.0477772416730344
24000,53,2.9943721269099104
25000,53,2.9575179033734003
26000,53,2.9112861223425637
27000,53,2.861502610479606
28000,53,2.819177688648036
29000,53,2.781051015948093
30000,53,2.756010068598537
1000,55,8.688753637882003
2000,55,7.4268028956918535
3000,55,5.353605121558735
4000,55,4.544754707242702
5000,55,4.203859881761825
6000,55,3.876925484185304
7000,55,3.531090043454502
8000,55,3.248854311170279
9000,55,3.0382330878736945
10000,55,2.8927894562158705
11000,55,2.8738407347941646
12000,55,2.87214811264613
13000,55,2.919917594075305
14000,55,2.9455537248924974
15000,55,2.9823382716075724
16000,55,2.983199094630651
17000,55,2.9847424968849885
18000,55,2.959456801243769
19000,55,2.9585988102287173
20000,55,2.9645204079919707
21000,55,2.955818765818079
22000,55,2.9341912446657274
23000,55,2.8982656207145276
24000,55,2.8519861727675258
25000,55,2.822554234970191
26000,55,2.7829712227789765
27000,55,2.740240971105383
28000,55,2.7043379289098954
29000,55,2.6701847220258133
30000,55,2.648540911776858
1000,57,8.28942249122953
2000,57,7.124943656106319
3000,57,5.159458444037736
4000,57,4.411947925417447
5000,57,4.106625513899711
6000,57,3.7968625028170364
7000,57,3.4620102923010903
8000,57,3.1887622662193436
9000,57,2.982345680422532
10000,57,2.8377366784933846
11000,57,2.81354493664597
12000,57,2.798661633285973
13000,57,2.840274376534099
14000,57,2.8684446978199896
15000,57,2.903432925372051
16000,57,2.9045289154504688
17000,57,2.905169868899048
18000,57,2.8826167147046777
19000,57,2.882013854279573
20000,57,2.887609067716934
21000,57,2.8799253441754167
22000,57,2.8591708851585085
23000,57,2.8283837747364937
24000,57,2.786533032001129
25000,57,2.7584064040105387
26000,57,2.7225062112680503
27000,57,2.6807795122777587
28000,57,2.6437073315794
29000,57,2.6100352870615637
30000,57,2.588245199443859
1000,59,8.008425118645478
2000,59,6.918544813913007
3000,59,5.0261907880124985
4000,59,4.297515040196641
5000,59,3.9996191711986824
6000,59,3.6975285405957448
7000,59,3.3893340631920585
8000,59,3.127365645235009
9000,59,2.9251090622374
10000,59,2.779328517531482
11000,59,2.7595782026109137
12000,59,2.7601729938565702
13000,59,2.81107674026744
14000,59,2.8443839780930475
15000,59,2.879547962736056
16000,59,2.881283556524082
17000,59,2.879543034786523
18000,59,2.8533264416538144
19000,59,2.850807812571862
20000,59,2.8528950911891533
21000,59,2.8428454666985457
22000,59,2.824613016706591
23000,59,2.7964458174743485
24000,59,2.755536785000067
25000,59,2.7267346423879304
26000,59,2.694407377932108
27000,59,2.654693637588693
28000,59,2.618064130246756
29000,59,2.585340811114305
30000,59,2.5646982883361416
